品目名,場所（タブ）,タイプ,カテゴリ,店舗
油揚げ,冷蔵庫,3択,大豆食品,ベルク
糸こんにゃく,冷蔵庫,数量,加工食品,ベルク
カニカマ,冷蔵庫,2択,練り物,ベルク
かぼちゃ,冷蔵庫,数量,野菜,ベルク
キャベツ,冷蔵庫,3択,野菜,ベルク
キャベツ,冷蔵庫,3択,野菜,ベルク
ごぼう,冷蔵庫,3択,野菜,ベルク
こんにゃく,冷蔵庫,3択,加工食品,ベルク
さつまいも,冷蔵庫,3択,野菜,ベルク
しめじ,冷蔵庫,3択,きのこ,ベルク
じゃがいも,冷蔵庫,3択,野菜,ベルク
ショウガ,冷蔵庫,3択,野菜,ベルク
食パン,冷蔵庫,3択,パン,ベルク
大根,冷蔵庫,3択,野菜,ベルク
卵,冷蔵庫,3択,卵,ベルク
たまねぎ,冷蔵庫,3択,野菜,ベルク
ちくわ,冷蔵庫,3択,練り物,ベルク
トマト,冷蔵庫,3択,野菜,ベルク
なめこ,冷蔵庫,数量,きのこ,ベルク
にんじん,冷蔵庫,数量,野菜,ベルク
にんにく,冷蔵庫,数量,野菜,ベルク
ハム,冷蔵庫,数量,肉・加工肉,ベルク
ベーコン,冷蔵庫,3択,肉・加工肉,ベルク
ヤクルト,冷蔵庫,2択,乳製品,ベルク
ヨーグルト,冷蔵庫,2択,乳製品,ベルク
